Water_Depth_cm,Soil_Moisture_%,Tank_Level_%,ET_mm_day,Rainfall_Predicted_mm,Crop_Stage,CWR_mm
3.01,93.8,60.7,8.87,0.0,3,25.02
0.0,46.3,83.9,6.8,0.0,5,160.49
0.0,74.4,85.7,6.12,0.76,5,63.57
15.81,94.7,47.8,6.92,4.0,4,5.92
0.15,84.0,19.4,6.73,4.28,1,119.65
4.06,90.5,80.7,6.96,0.0,3,9.96
9.94,92.5,79.4,8.75,0.0,4,70.61
1.43,91.8,24.6,4.76,2.47,3,15.51
17.33,92.8,59.2,8.76,2.76,4,0.0
0.0,88.4,79.3,5.61,13.75,5,0.0
4.56,94.0,16.4,6.85,0.0,2,0.0
0.12,83.1,60.8,5.48,11.21,1,0.0
8.93,92.7,65.9,5.52,1.14,1,68.07
12.7,91.7,33.6,5.93,14.45,1,0.0
0.28,51.0,50.4,5.43,12.24,2,0.0
0.17,79.7,86.2,5.98,0.0,3,58.33
15.57,90.6,59.0,5.6,0.0,1,8.6
5.45,92.3,98.7,4.39,16.54,3,0.0
4.78,95.5,33.5,6.02,0.0,3,9.02
13.56,90.3,85.1,9.66,3.83,4,26.77
9.69,92.3,97.5,6.77,0.0,4,62.91
0.32,73.2,48.0,6.46,0.0,4,166.81
0.0,88.6,80.3,4.35,11.5,5,0.0
2.87,92.7,88.7,6.59,0.22,2,10.7
0.06,55.7,63.3,8.96,7.9,4,153.19
2.93,95.5,81.7,5.88,6.97,2,0.0
16.46,94.9,53.1,4.03,0.0,1,7.03
12.77,99.4,50.4,5.38,0.0,1,30.73
0.0,98.8,94.6,5.17,7.79,5,0.0
15.52,99.1,20.9,5.08,0.0,4,4.04
0.0,86.2,86.6,8.75,0.0,5,24.98
7.24,98.7,55.4,6.55,0.0,1,87.19
0.3,80.8,44.6,6.19,0.0,1,196.95
1.32,93.6,71.0,5.9,0.0,2,25.71
5.78,94.6,88.6,9.75,0.0,1,120.72
0.0,81.6,47.3,5.07,12.41,5,0.0
5.75,91.1,58.0,5.22,0.0,3,2.46
9.92,94.1,16.9,8.68,0.0,4,35.9
11.83,94.9,51.5,4.51,0.0,1,39.21
0.05,83.2,80.6,5.35,7.78,1,94.19
2.7,91.8,18.9,6.86,8.34,2,0.0
2.69,99.4,86.9,6.42,0.0,2,12.53
0.03,67.3,65.7,5.39,3.65,3,59.73
0.0,71.0,52.4,5.37,3.09,5,71.13
8.75,90.5,32.1,6.36,3.8,1,68.07
14.64,99.2,65.9,5.13,19.52,1,0.0
19.17,95.6,71.2,6.79,17.46,1,0.0
2.86,98.5,77.2,6.57,0.0,2,10.94
0.0,82.5,36.4,5.39,0.0,5,36.19
2.04,91.1,73.5,9.94,0.0,2,25.92
1.89,98.2,82.7,5.84,0.0,2,19.95
0.09,64.5,94.5,6.25,3.33,2,49.14
0.0,85.4,77.7,6.41,4.71,5,16.65
16.49,97.7,31.6,4.04,8.69,1,0.0
2.84,96.9,16.7,5.84,0.0,3,10.24
16.89,99.5,28.3,5.14,15.94,4,0.0
0.22,83.4,32.4,4.36,3.61,3,57.76
0.3,57.6,49.7,4.82,1.62,3,56.97
14.4,98.7,82.5,9.1,0.0,1,20.77
2.42,93.3,44.9,9.96,8.94,3,9.12
1.18,91.7,48.2,6.41,5.8,2,8.71
0.4,51.7,24.6,5.14,0.0,2,46.02
0.0,94.9,95.1,6.84,3.99,5,5.85
0.31,54.6,47.3,5.56,4.08,1,196.88
1.29,96.4,43.7,5.14,0.0,3,35.28
0.0,96.3,97.0,6.0,0.0,5,9.0
2.77,99.1,47.2,9.3,0.0,3,28.32
0.0,87.7,98.2,5.97,3.4,5,11.5
4.43,93.0,81.2,9.85,0.0,3,14.77
0.05,53.1,65.7,8.61,2.01,4,169.49
0.0,68.0,32.4,6.23,3.42,5,81.86
0.4,52.1,45.5,6.34,0.0,4,166.03
3.77,92.5,57.2,4.01,5.58,2,0.0
1.23,96.3,36.0,6.21,2.24,2,24.65
16.34,95.7,94.6,5.71,0.0,4,6.59
0.0,85.1,47.7,4.41,0.0,5,20.24
0.0,77.7,57.0,5.45,0.0,5,52.5
12.67,97.5,59.9,6.21,3.16,4,29.35
16.44,95.7,87.8,4.18,0.0,1,7.18
0.06,68.9,58.6,4.21,5.5,1,114.12
16.87,93.5,93.5,6.33,8.84,4,0.0
15.63,98.5,71.0,5.35,0.0,4,8.35
0.0,94.6,96.5,6.28,7.59,5,0.0
16.1,90.0,46.1,6.67,6.78,4,0.0
0.0,66.4,77.0,5.35,2.38,5,87.4
12.9,99.1,28.7,8.84,1.71,4,35.84
5.5,98.7,45.4,9.7,0.0,3,5.04
14.4,97.6,91.3,8.58,4.92,4,14.56
4.57,90.0,46.5,5.02,4.94,3,3.08
4.26,98.3,42.6,6.72,17.95,3,0.0
2.4,93.5,74.4,6.34,0.0,2,15.3
15.49,91.3,49.5,9.81,3.26,4,10.98
0.0,95.5,95.7,5.45,0.0,5,8.45
0.0,91.7,39.3,5.36,0.0,5,8.36
3.88,95.8,51.2,5.43,0.0,2,8.43
0.24,58.7,20.6,5.92,14.03,1,0.0
5.59,90.7,98.7,5.07,15.96,3,0.0
4.52,93.3,72.6,6.21,0.0,3,9.21
15.09,99.4,53.0,8.77,0.96,4,12.43
0.11,59.3,55.0,6.18,0.0,1,198.86
0.25,73.3,54.1,9.59,0.0,3,57.48
0.34,77.1,70.0,5.05,0.0,4,166.59
18.32,94.3,79.1,4.59,0.0,1,7.59
0.31,79.3,84.8,9.93,8.38,2,45.14
0.1,79.3,29.8,5.87,15.37,1,0.0
13.58,99.8,41.1,4.7,7.36,4,5.8
0.2,72.9,76.9,5.36,4.5,2,47.96
3.54,97.0,96.9,6.99,2.36,2,7.63
0.29,74.9,48.4,9.43,3.58,4,167.11
0.19,64.5,89.5,6.23,0.0,3,58.12
6.93,96.6,21.4,6.58,0.0,4,45.14
3.8,92.7,50.4,5.04,0.0,2,8.04
4.42,91.8,80.7,5.04,13.1,3,0.0
0.14,59.9,73.1,9.17,4.53,4,168.6
5.43,98.8,92.3,5.5,4.16,1,100.02
10.28,94.0,25.2,5.16,0.0,4,27.7
0.0,89.0,86.3,6.87,0.0,5,12.45
5.95,95.5,89.6,9.66,0.0,4,110.5
12.96,95.0,21.0,4.17,0.0,1,5.52
2.77,91.9,23.7,5.68,9.29,2,0.0
0.0,86.4,60.0,6.36,3.65,5,15.15
4.36,92.4,61.1,9.97,0.0,3,14.92
4.62,96.3,35.1,9.8,0.0,2,3.81
0.01,52.0,92.8,4.39,0.0,1,199.87
4.26,98.5,50.0,7.0,4.6,3,5.4
13.37,98.1,50.2,5.58,0.0,4,24.93
12.51,93.6,39.7,4.82,0.0,4,32.7
12.51,93.6,67.8,10.0,4.46,4,38.43
16.88,93.1,72.5,5.81,2.56,1,6.25
4.09,99.8,65.2,8.9,0.0,2,9.12
13.55,99.8,86.0,6.36,4.11,1,19.78
14.79,91.7,41.2,9.32,0.0,4,16.6
15.71,93.2,21.0,5.07,0.0,4,4.03
0.0,98.6,44.1,5.22,0.0,5,8.22
0.29,58.8,38.9,8.67,0.0,3,57.09
0.38,60.2,92.8,5.77,0.0,2,46.24
17.26,92.9,17.5,5.13,0.0,1,0.0
5.93,91.5,30.6,6.37,0.0,3,0.0
16.27,90.3,35.2,8.9,4.88,4,7.31
0.0,45.1,31.8,5.96,0.0,5,163.28
15.39,97.2,24.0,6.98,7.57,4,0.0
12.2,91.5,26.4,5.31,0.0,1,7.26
3.29,93.9,20.1,8.97,2.9,3,9.32
0.0,68.6,61.9,6.67,4.73,5,78.71
12.37,99.1,59.5,4.75,0.0,4,34.04
0.37,84.9,44.8,5.91,7.28,3,35.25
2.78,90.7,69.9,8.53,7.15,3,7.61
12.67,96.6,24.1,8.97,2.93,4,18.58
15.97,92.9,32.4,6.36,3.0,4,6.36
16.34,98.8,15.1,6.32,18.69,1,0.0
0.09,55.3,53.3,8.89,0.0,4,169.11
17.23,92.8,89.1,6.69,1.94,1,7.75
16.01,96.3,52.1,9.05,0.0,4,9.88
1.63,95.8,51.2,6.34,0.19,3,32.87
0.0,86.5,60.6,5.86,0.0,5,18.01
2.04,100.0,41.3,8.77,2.43,3,33.25
0.0,94.0,36.0,6.07,0.0,5,9.07
0.38,54.2,97.6,6.11,0.0,1,196.2
15.24,96.0,43.3,4.9,2.78,4,5.11
0.19,68.5,50.3,8.73,0.0,2,48.05
3.28,97.2,74.3,6.54,0.0,2,9.54
15.14,94.3,96.4,6.07,13.42,1,0.0
0.0,87.7,95.4,9.08,13.92,5,0.0
10.17,94.4,52.3,9.34,0.4,4,68.31
3.03,99.5,16.9,9.67,3.57,2,2.09
0.14,53.1,91.9,5.75,9.87,4,134.03
3.68,94.2,46.7,5.48,0.0,3,11.67
3.67,92.5,22.4,9.59,0.44,3,8.89
7.16,91.0,18.1,4.92,14.76,1,0.0
1.91,97.1,81.6,5.03,0.0,3,28.98
16.47,93.6,19.5,5.39,0.0,1,0.0
13.02,99.4,54.4,8.51,0.0,4,35.96
1.63,97.6,82.2,6.91,4.98,2,18.65
0.0,96.4,59.3,6.36,0.0,5,9.36
12.95,98.9,78.2,5.88,0.0,1,29.4
6.15,93.1,29.9,6.06,0.0,4,97.59
5.08,94.9,30.2,5.26,0.15,4,107.33
14.55,95.0,65.6,6.64,2.56,1,11.56
4.17,92.7,51.9,6.83,0.0,3,9.83
0.0,91.3,28.7,6.83,11.87,5,0.0
17.38,90.3,57.2,4.83,0.0,1,7.83
15.19,98.0,29.2,6.06,0.0,1,9.06
0.0,86.6,35.0,6.7,0.0,5,18.53
0.0,87.4,25.0,6.63,10.14,5,0.0
2.22,97.3,73.1,5.21,0.0,2,16.0
3.68,90.9,69.2,6.05,0.0,2,9.05
0.34,76.4,32.9,6.18,4.61,3,56.56
1.59,99.0,85.6,6.23,0.0,2,23.35
2.83,97.3,97.8,4.99,4.33,2,5.36
0.0,84.5,67.8,6.59,0.0,5,31.13
0.0,95.5,69.4,6.73,0.0,5,9.73
0.0,89.7,63.2,6.47,0.67,5,9.5
2.68,93.8,23.1,5.32,1.52,2,2.0
2.81,96.5,45.8,6.12,3.37,2,7.63
2.87,94.3,17.2,8.81,9.02,3,3.24
18.29,95.1,32.4,5.13,0.0,1,8.13
15.54,99.5,32.7,5.03,4.86,4,3.17
0.22,81.4,16.2,4.91,0.0,3,54.12
9.42,90.0,24.9,6.26,0.0,1,13.02
14.78,92.0,22.6,6.81,8.36,1,0.0
2.71,98.3,67.0,6.87,0.0,2,12.73
3.32,94.6,25.1,5.68,0.0,3,7.72
2.6,90.9,37.0,5.38,2.24,3,20.18
0.0,67.8,82.0,5.58,10.43,5,0.0
2.26,91.9,68.2,9.59,0.0,2,23.0
2.91,99.3,58.5,6.01,11.41,2,0.0
1.34,96.7,23.3,5.0,3.43,3,15.58
3.51,95.0,45.9,4.21,2.93,3,9.17
5.08,92.0,33.5,5.27,0.0,3,8.27
0.11,80.4,85.4,5.44,0.0,1,198.89
12.67,90.8,46.3,5.32,0.0,1,31.6
2.07,97.7,89.4,6.68,5.01,2,5.6
0.0,90.7,49.5,6.48,0.0,5,9.48
0.33,83.0,92.0,6.21,0.0,1,196.67
3.88,94.4,76.0,6.14,0.0,2,9.14
7.57,98.7,18.7,9.36,0.0,4,49.84
2.83,96.9,20.3,5.5,0.0,2,2.04
3.74,92.7,33.6,8.61,0.0,3,16.38
15.95,90.6,52.3,4.3,4.88,4,2.42
2.26,93.7,35.4,5.73,1.67,2,14.43
0.0,82.3,80.7,6.93,3.97,5,33.77
0.0,87.3,24.6,6.06,16.35,5,0.0
16.89,96.2,55.3,5.13,3.6,1,4.53
2.17,97.2,73.2,5.85,1.67,2,15.51
2.44,99.6,87.9,6.44,0.0,2,15.07
16.31,98.6,98.3,8.98,0.0,4,6.88
2.33,90.4,34.5,5.56,0.0,2,15.28
7.96,91.6,22.8,4.01,4.53,4,36.45
4.33,94.8,18.1,5.28,0.0,2,0.0
15.37,98.8,95.6,9.52,4.84,1,8.83
11.2,93.7,32.3,5.21,2.28,1,43.91
5.66,98.1,59.2,5.05,6.33,3,0.0
2.85,99.1,74.0,8.99,2.68,3,23.93
0.39,50.1,38.2,6.73,18.32,3,0.0
0.24,81.2,85.5,6.35,0.0,4,167.59
14.18,93.1,87.3,6.67,0.0,1,17.89
3.56,90.7,63.3,6.67,2.6,3,11.5
1.3,99.1,21.6,6.16,0.73,3,17.71
0.0,77.8,18.4,6.43,3.32,5,24.53
0.08,54.7,75.4,5.28,2.02,2,49.23
0.05,52.8,62.6,6.64,9.21,1,135.23
14.7,97.4,96.9,6.51,5.96,1,2.62
9.08,91.8,86.5,6.51,0.79,4,67.95
1.77,95.3,83.9,6.29,0.0,2,21.61
5.36,94.8,80.3,9.76,2.41,3,6.43
0.0,86.9,59.0,6.25,0.23,5,17.19
0.0,87.4,46.6,6.46,6.71,5,3.8
5.28,94.2,99.6,6.99,0.0,3,7.23
10.43,93.5,43.2,4.53,0.0,1,53.27
4.5,90.1,55.9,4.66,6.03,2,0.0
0.25,54.4,46.3,4.26,0.0,4,167.49
17.16,92.3,22.3,9.73,0.0,4,0.0
2.64,96.5,25.3,9.36,19.88,3,0.0
0.0,94.6,93.9,9.73,0.54,5,14.02
2.89,95.0,51.3,6.75,0.0,2,10.82
16.8,97.5,26.2,6.45,7.04,1,0.0
4.5,95.8,98.9,5.47,9.49,2,0.0
3.55,98.8,67.1,6.74,0.0,3,14.26
0.0,93.0,41.0,6.98,8.46,5,0.0
12.46,93.4,92.0,6.94,7.27,4,11.22
0.0,92.1,21.4,6.86,0.0,5,0.0
16.82,90.4,35.9,6.92,0.0,4,0.0
0.13,63.0,69.7,5.25,16.23,3,0.0
0.2,59.6,85.0,9.43,0.0,4,167.96
7.93,90.4,47.7,5.46,18.61,1,0.0
15.26,94.3,16.0,6.15,2.11,1,0.0
2.65,91.1,89.4,9.54,0.0,3,29.95
12.98,94.0,24.3,5.63,0.0,1,5.77
0.0,88.7,26.1,6.68,0.0,5,2.59
0.0,61.7,86.8,6.35,0.0,5,107.77
15.96,93.3,79.8,9.79,2.5,4,10.4
11.32,95.3,58.0,6.78,8.48,1,15.25
0.0,87.1,82.5,6.08,13.87,5,0.0
0.37,59.9,51.8,5.22,0.0,2,46.26
14.01,93.7,98.4,5.11,1.09,1,16.91
16.99,92.0,70.6,4.95,6.33,1,0.0
18.68,97.7,98.1,4.05,0.0,1,7.05
14.42,92.1,96.2,5.4,12.53,1,0.0
15.27,93.5,73.6,9.35,1.23,4,12.78
0.28,52.0,62.2,5.35,5.53,2,47.24
0.0,72.7,72.0,5.49,5.37,5,24.95
0.0,85.4,47.5,5.8,0.0,5,20.75
1.56,93.5,31.9,5.7,2.17,2,20.94
1.83,99.4,15.8,8.93,0.0,3,19.35
13.91,95.5,24.9,6.82,1.2,4,9.74
12.08,98.6,40.8,4.67,0.0,4,36.83
0.0,96.0,87.4,6.86,5.18,5,0.0
0.32,79.6,74.6,5.89,0.0,4,166.78
0.32,66.4,59.6,6.54,13.48,3,0.0
0.02,71.6,97.5,4.72,0.0,3,59.8
0.38,75.9,24.9,9.66,0.0,4,158.78
16.48,98.9,27.7,5.94,0.3,4,5.19
2.35,96.6,72.1,9.3,0.0,2,21.67
5.31,94.0,66.9,6.81,0.0,1,106.76
0.0,93.0,28.9,5.92,0.0,5,8.92
13.51,91.2,71.9,5.32,0.0,1,23.21
8.24,92.7,91.6,9.16,0.2,4,87.59
10.03,98.7,69.1,6.3,7.29,1,20.68
0.24,61.8,15.8,6.19,3.06,2,47.58
4.17,94.1,44.9,9.53,0.0,2,8.29
5.91,90.4,79.3,4.14,4.77,1,93.25
0.05,83.0,80.9,5.5,0.0,1,199.52
12.81,94.6,15.6,9.36,0.0,4,19.69
1.24,90.2,22.6,6.59,8.55,3,5.73
13.04,93.8,69.8,6.49,0.0,1,29.08
0.35,83.8,56.1,5.69,0.0,4,166.46
0.08,80.2,77.1,4.93,1.67,1,199.2
6.17,98.7,90.5,6.84,14.19,1,0.0
16.01,98.2,47.2,5.23,0.0,1,8.23
0.0,45.5,55.1,6.87,0.0,5,163.13
15.12,93.3,56.1,6.48,0.0,4,9.48
17.8,98.2,48.7,5.67,0.0,4,0.0
2.72,96.2,47.2,6.03,12.53,2,0.0
0.09,78.8,97.0,8.93,19.03,3,0.0
1.92,98.7,57.3,8.79,9.18,3,10.76
0.0,89.3,90.9,9.31,2.49,5,13.33
6.56,96.7,95.7,5.5,0.0,4,92.91
6.69,96.9,89.7,5.85,4.06,1,87.84
0.12,78.0,83.9,6.58,2.68,2,48.79
0.0,83.6,61.7,6.09,9.86,5,8.23
16.83,93.9,83.0,8.98,9.99,4,0.0
0.0,57.6,84.8,5.64,0.0,5,120.82
3.73,97.1,31.4,5.42,0.0,3,11.15
2.31,90.3,84.9,9.83,7.19,3,10.36
2.79,98.7,94.1,9.36,0.0,2,16.66
2.99,98.9,89.1,5.11,0.0,2,8.2
0.0,95.0,28.4,5.63,9.21,5,0.0
11.96,96.4,26.2,5.32,4.64,1,6.82
1.4,97.7,99.1,5.25,0.0,2,24.21
2.33,94.6,25.1,5.7,0.0,3,12.71
3.27,99.8,31.8,5.04,11.91,2,0.0
0.0,98.9,87.0,6.17,0.0,5,9.17
0.31,70.7,51.2,4.92,0.0,4,166.95
0.39,60.1,43.1,8.56,0.0,1,196.05
15.33,97.3,29.9,6.32,0.77,1,8.55
3.88,92.6,96.3,6.41,8.04,3,0.0
2.65,92.2,90.1,5.03,17.21,2,0.0
2.83,94.3,67.9,8.94,3.23,2,11.95
16.72,99.3,97.8,5.66,0.0,4,2.81
0.22,54.2,98.6,5.21,0.0,4,167.83
0.3,53.3,73.9,5.8,0.0,2,47.03
0.0,87.9,68.4,5.65,0.0,5,14.22
14.41,96.1,31.7,6.35,0.0,1,15.3
3.28,98.5,89.4,5.72,0.0,3,15.92
13.31,98.3,52.2,5.56,4.42,4,20.99
0.1,61.9,71.9,6.7,0.0,3,59.02
4.17,98.9,81.1,5.31,0.0,2,8.25
19.19,97.6,69.5,7.0,4.4,1,5.6
6.77,91.3,66.1,6.77,0.0,1,92.02
4.41,96.4,67.3,9.76,0.0,3,14.67
0.23,59.5,70.5,5.88,0.0,2,47.66
0.16,77.1,44.7,5.7,0.0,4,168.44
4.73,96.3,46.1,4.53,8.87,3,0.0
2.01,95.6,15.4,9.22,0.0,2,5.09
8.19,92.1,73.5,6.35,0.0,1,77.41
0.0,87.3,58.1,6.33,18.09,5,0.0
0.03,55.4,98.6,4.44,2.72,1,199.69
0.0,93.2,93.3,5.21,0.3,5,7.91
12.16,90.9,21.0,9.21,0.0,4,23.33
5.19,95.4,44.1,4.85,2.29,3,5.56
3.94,93.0,86.7,5.05,0.0,3,8.62
4.95,92.0,36.6,8.62,3.72,3,9.09
2.82,90.0,20.1,5.87,4.08,3,8.28
1.25,91.6,56.0,8.6,3.68,2,29.18
0.24,83.9,26.8,9.61,0.0,3,57.59
0.0,93.2,25.4,6.62,0.0,5,0.0
12.25,98.9,26.4,9.44,5.27,1,3.19
2.46,92.6,88.1,5.36,0.0,2,13.79
0.0,91.7,52.9,5.19,7.4,5,0.0
14.7,91.8,79.0,5.67,0.0,1,11.64
13.09,91.2,81.6,6.0,0.0,1,28.13
0.0,47.7,16.0,5.32,0.0,5,76.97
3.23,94.5,78.6,9.14,0.45,2,13.44
4.54,95.6,48.2,5.38,0.0,3,8.38
0.3,64.9,70.5,5.77,7.57,3,56.97
5.17,90.9,24.2,5.35,1.1,3,3.62
1.21,99.8,27.7,5.81,9.38,3,10.92
16.11,94.4,30.8,5.41,5.3,4,0.0
0.15,53.7,69.6,5.29,2.81,1,198.45
4.47,99.7,86.1,9.48,10.81,3,0.0
15.9,98.3,79.0,9.57,0.0,4,10.99
0.35,77.5,17.3,6.1,6.03,1,51.61
4.45,94.9,49.9,4.79,3.14,3,4.65
3.53,97.9,79.0,9.75,0.0,2,14.66
3.47,96.0,43.3,6.47,4.27,2,5.2
2.79,91.5,49.6,6.27,0.0,2,11.36
3.55,91.1,97.4,8.63,0.0,3,18.58
0.0,88.7,66.1,8.71,6.44,5,4.04
10.68,91.5,61.0,6.78,4.28,1,48.66
0.22,67.9,59.5,6.33,0.0,1,197.75
4.66,94.6,93.6,5.84,5.76,3,0.0
14.32,90.2,57.4,6.26,0.54,4,15.55
0.0,73.0,81.4,4.03,0.0,5,66.46
2.55,96.6,28.9,6.4,1.13,2,12.77
0.0,98.2,97.6,5.01,0.24,5,7.77
1.92,98.2,70.3,4.78,2.59,2,15.98
0.1,78.0,65.3,5.3,0.0,3,59.05
4.28,94.7,92.7,6.89,0.0,3,9.89
13.95,97.3,57.8,9.18,0.0,4,26.11
15.62,92.7,71.7,5.56,0.0,1,8.56
2.4,92.0,67.3,6.6,0.0,2,15.62
16.22,99.9,86.0,6.1,0.0,1,9.1
1.47,95.8,24.4,5.45,6.95,2,0.0
5.31,93.4,30.4,9.37,0.0,4,116.88
3.52,96.6,98.9,9.32,0.0,3,19.67
12.14,99.0,64.5,4.3,0.0,4,35.87
3.21,98.9,49.0,6.9,0.0,3,17.81
0.0,96.1,68.8,5.52,2.85,5,5.68
0.0,94.7,60.7,5.79,0.0,5,8.79
0.0,83.6,86.6,4.15,0.0,5,30.89
4.61,92.1,94.3,5.81,19.03,3,0.0
3.73,97.8,52.6,8.55,0.0,3,16.38
13.28,92.4,75.1,4.42,0.0,1,24.64
3.55,98.9,39.2,5.24,0.0,3,12.75
5.1,91.2,41.1,5.15,1.69,3,6.46
5.51,92.0,54.3,9.9,12.83,3,0.0
3.85,98.6,32.7,8.99,9.16,3,2.01
2.48,98.8,83.9,4.36,0.0,2,12.53
15.45,96.9,48.8,5.93,0.0,1,8.93
13.49,92.7,24.6,9.91,2.73,1,5.81
0.0,85.5,59.4,6.78,0.0,5,21.42
15.66,97.8,28.7,9.2,0.0,4,13.37
2.83,98.3,41.3,4.62,0.0,2,9.34
10.98,90.9,83.6,6.11,0.0,4,49.33
15.51,93.0,92.2,9.51,0.0,4,14.38
0.0,88.4,73.7,6.07,15.47,5,0.0
0.36,71.9,24.8,4.6,5.9,1,55.05
0.06,82.0,63.7,6.86,0.0,4,169.43
10.49,94.3,79.1,5.7,0.0,1,53.83
14.39,94.0,19.9,6.63,0.0,1,3.15
5.71,94.9,76.5,5.39,2.55,1,98.79
1.97,97.7,69.4,8.98,0.0,2,25.65
17.99,94.3,94.3,5.14,16.35,1,0.0
5.73,92.3,58.7,6.22,4.33,3,2.68
17.56,96.4,66.3,6.88,0.0,1,9.88
16.25,97.2,66.6,9.93,5.13,4,3.59
15.71,99.6,22.5,5.53,9.81,1,0.0
14.05,99.1,62.5,4.02,0.0,1,16.48
2.48,98.6,82.9,6.0,5.05,2,3.67
17.84,96.5,34.1,4.94,4.51,4,0.0
14.89,90.6,31.2,9.05,0.64,4,14.4
17.31,91.4,31.4,5.83,0.0,4,0.0
0.13,52.7,90.7,6.9,2.81,1,198.71
0.0,71.2,30.4,5.13,0.0,5,74.1
1.39,99.7,47.4,5.24,4.45,2,19.9
0.21,50.9,75.2,5.31,2.49,1,197.92
1.78,97.5,19.2,5.31,0.0,2,4.1
14.15,91.3,95.1,6.58,0.0,1,18.05
2.63,95.2,80.7,5.38,1.6,2,10.51
0.01,62.6,31.2,6.67,0.38,3,59.91
17.06,92.2,67.6,5.34,15.37,4,0.0
3.67,95.6,53.2,4.41,4.76,3,5.98
3.86,96.5,59.7,9.4,0.0,2,11.36
19.59,99.6,28.4,5.11,6.94,1,0.0
0.11,84.4,58.6,6.04,1.64,1,198.91
0.01,51.4,86.3,6.85,14.18,2,0.0
2.1,95.3,80.8,6.04,0.0,3,28.09
0.2,56.2,82.4,6.38,0.0,1,198.02
14.69,98.0,25.6,6.69,13.02,1,0.0
0.0,62.9,32.1,4.32,0.0,5,100.96
0.0,89.8,41.3,6.93,0.0,5,10.48
13.54,99.2,85.5,9.36,3.36,4,27.17
0.11,73.5,83.4,5.03,0.0,2,48.91
4.78,99.5,79.4,4.51,6.55,3,0.0
0.07,75.1,30.6,9.38,0.0,3,59.26
11.6,98.7,66.7,6.89,0.0,1,43.87
0.0,67.3,89.5,5.43,0.0,5,87.79
0.29,78.6,62.4,9.93,6.23,4,119.14
17.52,99.0,52.1,6.52,0.0,4,0.0
0.0,91.8,46.2,6.35,7.25,5,0.0
4.85,97.9,46.6,5.08,12.73,3,0.0
0.04,71.6,81.0,6.28,3.32,2,49.59
17.96,95.5,74.6,9.82,0.62,4,0.0
