Water_Depth_cm,Soil_Moisture_%,Tank_Level_%,ET_mm_day,Rainfall_Predicted_mm,Crop_Stage,CWR_mm
13.02,94.3,99.8,5.86,1.7,1,26.99
7.28,98.4,51.1,5.08,2.54,1,82.74
0.0,94.5,80.7,5.92,8.88,5,0.0
14.31,95.4,60.0,4.86,0.0,1,14.76
2.96,98.4,79.7,8.85,0.0,2,14.11
15.45,96.7,98.8,8.67,19.09,4,0.0
0.14,72.0,94.2,6.28,0.0,3,58.64
2.96,94.3,46.9,6.82,0.58,2,9.62
2.35,91.1,79.5,9.83,0.0,3,33.72
0.31,50.4,46.7,5.88,3.06,1,196.91
0.0,88.6,33.0,9.31,9.64,5,2.9
16.4,98.7,70.2,9.09,0.0,4,6.02
17.8,96.8,17.1,5.24,0.0,1,0.0
15.54,96.0,25.2,9.25,0.0,4,7.04
15.91,96.3,95.2,6.04,0.0,1,9.04
2.76,90.8,32.8,9.28,0.0,3,28.39
0.0,56.5,83.8,6.79,9.26,5,45.58
0.07,57.8,86.3,9.37,4.18,4,169.3
0.0,88.9,88.6,5.42,0.0,5,11.36
4.63,99.0,49.7,8.71,1.51,3,11.74
18.22,93.1,26.0,5.74,1.74,1,0.0
17.18,95.9,24.0,8.89,0.0,4,0.0
2.78,96.8,29.4,4.87,2.26,2,7.82
0.0,85.4,85.0,6.41,13.9,5,0.0
4.4,91.4,73.6,9.68,0.0,3,14.59
0.0,93.6,89.3,6.73,0.0,5,9.73
0.0,85.4,34.5,6.64,10.86,5,0.0
2.75,98.8,84.5,5.16,0.0,3,20.66
12.56,91.4,99.7,6.94,1.72,4,32.58
6.61,94.2,37.8,5.57,2.94,1,89.51
16.22,94.1,15.4,6.99,5.38,4,0.0
16.88,91.5,79.4,9.23,9.81,4,0.0
19.39,93.5,94.2,6.74,2.12,1,6.13
6.95,97.3,73.7,4.48,4.37,4,83.6
3.69,97.6,20.4,5.05,9.0,3,0.0
4.16,99.0,22.0,4.28,0.0,2,0.0
19.77,95.7,70.7,6.63,7.25,1,0.0
0.0,86.8,34.3,6.92,6.62,5,4.63
3.89,98.1,78.0,5.29,0.0,2,8.29
15.98,93.4,15.5,5.48,6.23,1,0.0
0.0,84.4,66.1,5.65,0.0,5,30.34
0.39,83.7,95.4,5.21,12.04,1,0.0
0.18,83.4,58.7,5.53,7.34,3,37.12
15.16,99.3,64.4,4.65,0.0,4,7.65
16.73,94.0,74.4,5.27,0.0,4,2.66
0.0,85.1,46.8,5.33,0.0,5,21.08
13.79,96.2,73.5,9.22,14.03,4,0.0
0.0,63.0,58.5,9.91,0.0,5,124.1
0.22,62.4,73.5,5.77,16.75,2,0.0
14.03,92.6,22.6,6.41,0.0,1,3.83
0.0,85.5,78.1,6.38,0.0,5,20.99
16.91,94.2,32.7,9.65,1.14,4,0.0
0.0,62.5,62.8,6.78,0.0,5,105.63
15.29,90.4,33.8,6.94,0.0,1,9.94
13.29,95.8,30.8,6.59,0.0,1,26.64
0.0,85.8,90.5,5.49,0.0,5,19.51
0.0,96.3,93.6,6.46,6.55,5,0.0
3.34,91.1,33.0,6.33,5.62,2,0.0
0.38,57.8,44.9,4.72,0.0,4,166.15
16.63,98.4,73.2,9.73,7.72,4,2.3
0.0,94.3,61.4,6.36,2.09,5,7.27
2.13,94.5,16.2,8.95,0.0,3,17.6
1.34,90.6,23.4,6.78,5.49,3,6.18
0.06,82.4,58.8,6.7,0.9,2,49.36
7.64,92.8,16.5,4.43,19.04,4,0.0
13.06,93.8,41.8,9.33,0.12,1,36.32
0.28,75.1,52.5,6.87,0.0,3,57.18
2.4,92.9,26.1,6.82,15.7,2,0.0
17.62,92.8,80.2,9.85,0.0,1,14.78
3.3,92.5,99.9,6.25,0.0,2,9.25
2.67,91.7,78.7,5.07,2.95,2,8.44
4.26,93.0,19.8,5.97,4.52,2,0.0
15.93,95.8,56.8,4.64,2.39,4,5.25
3.64,91.6,58.7,6.73,0.0,3,13.35
0.0,66.3,35.5,5.11,3.86,5,85.7
3.78,96.3,83.3,6.02,4.09,2,4.93
18.14,92.5,68.8,6.41,0.0,1,9.41
4.2,91.8,44.9,6.33,6.16,3,0.0
3.18,99.4,58.4,5.89,0.0,3,17.14
18.29,96.3,74.3,6.37,7.09,1,0.0
0.0,88.1,53.4,5.53,6.73,5,2.68
0.0,94.4,18.4,6.58,1.85,5,0.0
3.53,95.1,32.3,6.91,0.0,3,14.59
3.74,97.8,65.8,6.01,0.12,3,11.5
2.96,99.4,21.4,5.75,0.0,2,0.0
18.88,96.1,67.8,6.66,14.98,1,0.0
16.77,94.8,91.3,6.69,0.0,4,2.32
0.06,67.7,27.1,4.34,0.45,2,49.44
3.3,98.6,39.1,9.53,0.0,3,22.41
5.89,94.4,86.8,9.35,8.65,3,0.0
19.81,97.6,85.7,5.73,14.64,1,0.0
0.0,83.4,41.0,8.71,0.0,5,43.33
0.0,93.5,48.0,6.72,0.0,5,9.72
4.57,96.2,26.0,9.95,5.12,2,0.0
2.39,93.3,61.6,5.1,0.0,2,14.25
0.34,84.5,44.6,8.95,1.58,3,56.56
0.25,62.0,17.2,9.29,0.0,4,167.5
0.0,94.0,23.4,5.51,12.83,5,0.0
0.0,98.2,92.0,5.87,0.0,5,8.87
0.0,86.0,79.9,5.99,5.09,5,5.69
16.63,93.8,91.8,5.13,3.71,4,3.74
7.54,91.9,45.5,9.5,19.54,4,0.0
15.1,93.2,48.7,5.26,0.0,1,8.26
0.0,86.7,30.8,5.64,19.41,5,0.0
0.33,61.9,73.1,5.25,9.35,3,56.68
16.12,90.9,82.5,6.4,6.37,4,0.0
1.27,97.1,20.6,5.94,0.21,2,5.21
2.83,97.0,70.2,5.37,0.0,2,10.05
0.35,77.5,44.4,6.06,0.0,4,166.5
14.96,95.3,25.2,5.16,0.0,1,0.0
13.07,95.9,88.8,9.35,0.0,1,36.35
0.0,89.1,17.7,4.25,0.0,5,0.0
1.6,98.9,21.0,4.41,0.0,3,15.69
3.25,96.7,35.5,4.93,2.22,2,5.71
5.07,93.2,40.5,9.43,0.0,3,9.25
13.94,98.1,79.5,6.55,2.82,1,17.36
8.23,99.4,38.1,6.59,0.88,1,76.39
1.98,91.0,75.9,5.82,2.97,2,16.1
0.0,85.7,41.5,4.88,0.0,5,19.0
1.45,93.8,84.3,5.95,0.0,2,24.43
0.0,89.8,52.4,5.1,8.36,5,0.0
3.46,90.9,28.3,5.07,0.0,2,8.07
0.01,82.1,44.2,9.3,14.05,3,0.0
5.77,97.3,47.3,6.29,1.9,1,99.69
5.5,94.3,17.1,5.55,15.12,3,0.0
0.0,94.6,41.4,5.26,4.01,5,4.25
14.97,92.5,95.5,6.46,0.0,4,9.72
0.0,45.7,39.8,6.05,5.15,5,61.86
0.19,67.1,56.0,9.88,0.0,4,168.09
16.15,98.0,99.0,5.46,0.0,1,8.46
0.0,82.9,32.2,5.96,6.08,5,11.07
5.96,95.7,88.9,9.17,1.96,3,0.0
3.17,97.1,16.6,5.96,0.0,2,0.0
0.0,90.8,22.1,5.47,0.0,5,0.0
0.0,86.5,59.1,5.56,16.06,5,0.0
0.16,83.0,31.5,6.66,4.91,2,48.36
5.49,97.3,35.2,5.67,8.51,4,38.12
3.92,91.6,99.1,4.23,0.0,2,7.23
14.5,96.2,87.3,5.58,0.52,4,13.07
0.39,68.0,99.9,5.4,0.0,3,56.12
0.0,85.4,63.5,6.19,0.32,5,20.93
0.39,73.7,36.2,8.74,7.41,4,125.45
3.09,96.6,31.6,5.38,0.0,2,8.38
0.0,84.7,87.0,5.86,1.57,5,27.46
5.69,100.0,72.1,6.64,0.0,3,3.05
0.36,63.4,58.7,9.75,0.0,3,56.38
2.42,94.3,17.6,8.72,6.48,2,0.0
0.0,90.2,86.9,5.28,9.71,5,0.0
0.0,87.5,78.7,9.94,0.0,5,22.41
4.75,99.3,68.0,4.09,0.0,3,7.09
0.3,59.6,66.4,4.12,0.25,4,166.98
3.02,94.0,42.6,6.88,15.78,2,0.0
16.86,91.7,40.2,5.27,8.25,1,0.0
11.62,94.2,37.3,9.36,0.0,4,53.13
15.02,99.0,65.7,5.06,0.0,1,8.06
0.07,52.9,65.6,5.25,9.91,1,134.03
0.14,82.1,25.0,5.55,0.0,2,46.8
3.72,96.4,20.9,6.87,0.41,3,6.13
0.38,73.2,17.1,8.52,0.0,3,56.19
2.8,97.0,64.6,5.69,2.98,2,7.66
15.54,97.1,59.3,9.12,4.88,4,8.32
0.0,88.1,55.0,6.11,0.0,5,14.12
1.95,98.5,15.5,9.31,11.35,2,0.0
7.26,96.2,33.3,6.1,0.0,1,86.45
4.04,92.4,20.7,5.49,0.0,2,0.0
0.24,84.2,86.2,5.23,9.74,2,29.41
12.15,92.4,76.6,5.65,5.41,1,12.71
16.13,93.6,46.2,9.66,0.0,4,8.73
12.64,92.9,60.3,9.23,13.29,4,0.0
4.5,93.8,17.9,9.16,0.0,3,6.99
0.15,67.3,48.8,6.52,5.57,1,117.49
0.0,68.2,38.3,6.39,0.0,5,85.89
0.14,70.4,52.5,5.86,12.87,1,0.0
15.54,91.9,34.7,5.1,4.79,1,3.3
10.3,91.3,35.9,6.9,0.0,1,56.94
2.41,94.0,89.9,6.87,4.15,2,11.6
0.0,94.2,76.1,5.21,16.0,5,0.0
5.23,99.3,94.0,9.8,0.0,3,7.66
15.35,91.4,67.6,5.84,0.0,1,8.84
0.09,55.7,78.6,5.11,0.0,2,49.13
0.06,78.9,40.3,9.7,7.6,4,117.84
2.63,99.4,29.1,6.46,0.0,3,23.14
12.26,96.7,93.0,5.8,0.0,1,36.2
1.81,93.8,33.6,5.77,6.97,2,5.48
4.69,90.3,91.4,5.84,0.0,3,8.84
0.0,93.9,90.7,6.95,19.9,5,0.0
0.0,93.6,42.0,6.78,6.46,5,0.0
0.12,61.3,29.1,8.74,0.0,2,48.84
5.31,97.0,32.7,5.05,17.93,1,0.0
0.0,87.7,61.7,5.02,0.0,5,14.08
16.7,90.2,18.9,5.58,1.87,1,0.0
0.0,91.8,81.9,6.72,0.0,5,9.72
15.95,91.8,74.3,5.47,9.82,1,0.0
0.0,89.7,89.0,9.17,0.0,5,14.83
17.47,94.1,15.5,9.07,9.66,4,0.0
0.0,78.9,87.0,6.63,0.0,5,50.16
16.99,92.3,37.7,6.6,0.0,1,9.6
4.0,96.6,80.5,8.8,0.54,3,13.0
2.9,94.3,41.0,6.17,0.0,3,20.17
5.64,98.8,62.7,4.29,0.0,4,100.86
2.23,97.1,28.3,5.33,0.0,2,16.06
4.89,92.0,34.8,9.63,0.0,2,0.0
16.43,95.6,83.9,9.24,0.0,4,5.67
3.0,93.9,72.0,4.4,0.0,2,7.44
2.97,99.7,51.7,9.09,0.88,3,24.69
14.22,95.2,67.3,6.35,6.78,4,4.15
13.71,90.3,52.1,4.39,0.0,1,20.24
0.34,60.9,84.4,6.82,19.58,3,0.0
0.0,94.2,28.6,6.55,0.0,5,9.55
0.03,60.6,60.8,5.16,0.0,3,59.73
14.29,95.7,92.5,4.06,7.49,4,2.65
4.74,90.3,44.7,4.87,0.58,3,7.29
17.86,99.9,29.8,6.4,0.0,1,9.4
4.56,97.5,98.5,5.19,0.0,3,8.19
0.09,81.3,36.5,8.96,1.98,2,49.09
12.92,95.3,16.7,5.04,0.0,4,14.4
3.73,96.8,17.4,6.24,0.0,3,6.0
2.41,93.5,38.1,5.53,5.71,2,3.47
2.48,90.5,18.4,4.97,0.0,2,2.64
0.0,94.3,82.0,6.42,2.61,5,6.8
0.3,80.8,22.8,4.83,0.0,4,126.54
0.14,83.9,17.3,5.61,0.0,1,121.82
0.0,92.5,72.7,6.65,0.0,5,9.65
0.03,71.6,27.0,5.4,0.0,1,142.44
15.19,94.2,30.2,9.12,0.0,4,13.94
3.51,91.2,59.3,8.99,0.0,3,19.46
15.45,90.4,64.8,5.63,0.81,4,7.82
19.28,99.4,86.1,5.9,0.0,1,7.18
10.36,90.1,48.1,6.97,0.0,1,56.39
17.39,90.9,77.2,4.58,9.3,1,0.0
4.38,90.1,56.1,9.55,7.63,3,2.26
12.14,90.1,51.4,9.31,0.0,4,47.05
0.0,90.4,55.8,9.82,0.0,5,14.75
1.97,95.1,48.0,6.23,0.0,2,19.56
0.0,89.2,15.3,6.02,0.0,5,2.21
0.0,93.0,93.4,6.74,2.31,5,7.44
0.0,92.6,51.7,6.35,2.71,5,6.65
2.47,98.0,23.1,4.82,4.55,2,0.0
0.18,57.8,16.6,5.65,1.46,2,48.17
16.91,95.3,24.4,8.55,0.0,4,0.0
15.9,98.1,92.8,5.19,13.3,1,0.0
0.0,94.1,38.3,9.35,4.81,5,8.67
14.0,95.1,54.7,5.11,0.0,4,18.14
3.47,94.3,68.0,5.23,13.55,2,0.0
7.08,95.7,17.5,9.89,3.84,4,50.75
11.95,92.1,23.7,9.33,0.0,4,24.6
0.13,54.2,20.6,5.78,0.0,1,172.23
15.74,91.5,81.3,6.37,0.76,1,8.6
0.0,52.6,37.1,5.75,8.05,5,50.91
0.33,81.2,49.7,6.94,0.27,1,196.74
11.34,91.4,35.9,6.53,0.0,1,46.18
0.04,51.8,83.3,9.95,0.0,4,169.57
15.07,91.1,39.2,8.76,0.0,4,13.52
12.98,97.5,98.5,6.49,1.91,4,27.76
0.0,88.1,88.9,5.97,2.47,5,11.57
2.01,97.0,17.6,6.52,0.0,2,3.89
14.45,98.3,22.8,4.1,0.0,1,2.51
0.27,83.2,50.2,4.13,9.68,1,92.69
0.0,46.9,70.6,6.95,0.0,5,158.61
0.0,81.2,17.7,6.06,0.0,5,20.82
0.01,50.3,76.1,6.5,9.95,2,49.88
1.64,97.9,37.5,5.9,15.94,2,0.0
0.31,52.6,75.9,6.25,17.98,1,0.0
0.0,95.2,61.4,6.4,0.0,5,9.4
13.06,99.6,88.9,5.64,5.16,4,9.16
3.55,92.6,60.7,8.77,1.97,2,11.28
0.0,94.9,31.5,4.18,0.0,5,7.18
4.69,99.1,32.6,4.76,6.99,3,0.0
13.17,98.4,51.8,8.76,15.83,4,0.0
1.33,97.9,37.0,8.93,0.0,3,44.37
0.24,55.0,34.1,6.04,8.65,1,132.27
3.42,98.7,68.7,5.59,0.0,3,14.4
0.0,85.4,60.2,5.32,0.0,5,20.35
0.14,71.8,37.0,9.27,0.0,4,168.61
3.39,96.8,27.0,9.77,0.0,3,10.86
3.61,92.7,31.3,6.0,4.06,3,8.82
1.22,90.5,44.8,9.43,0.0,2,34.79
15.34,90.8,22.9,8.92,4.77,4,4.11
15.37,98.1,67.4,6.49,0.0,4,9.49
0.0,93.9,79.1,5.14,16.22,5,0.0
15.68,97.7,47.4,6.11,0.0,4,9.11
0.1,78.4,27.6,6.47,0.0,1,198.96
0.0,86.9,87.9,6.81,0.36,5,17.57
5.41,99.0,63.1,5.36,0.42,1,103.86
15.82,91.3,93.9,8.84,8.35,1,0.0
2.44,91.3,33.5,9.26,0.0,3,32.03
1.16,95.1,38.0,9.97,18.66,2,0.0
0.0,95.0,55.3,5.87,3.54,5,5.33
2.74,92.9,36.2,6.15,15.2,2,0.0
0.0,85.5,100.0,6.23,0.0,5,21.0
4.62,97.9,40.7,5.44,4.76,2,3.68
0.36,51.0,33.9,9.82,0.0,2,46.45
1.95,97.3,71.3,6.64,3.03,2,17.08
17.07,92.9,57.3,5.84,4.62,4,0.0
2.38,94.2,83.4,6.87,0.0,2,16.12
15.87,97.5,72.6,6.08,0.0,1,9.08
0.0,71.9,67.6,9.29,3.41,5,83.66
19.53,98.8,58.1,9.83,0.0,1,4.73
11.6,92.4,57.1,6.28,0.0,1,43.28
3.38,99.1,58.1,9.83,17.81,3,0.0
0.0,46.6,34.5,6.01,9.17,5,58.63
15.09,98.4,24.2,5.13,0.0,4,4.06
12.31,95.3,19.9,6.99,0.0,1,7.38
0.0,85.5,25.1,6.01,0.0,5,4.12
0.11,57.1,41.1,8.5,0.0,3,58.87
2.48,97.1,90.7,6.38,5.93,2,3.48
0.0,85.8,17.6,5.39,8.73,5,0.0
17.52,91.2,75.2,6.49,0.0,1,9.49
0.0,95.0,33.2,6.98,3.08,5,6.9
16.06,98.4,32.4,5.06,0.0,4,8.06
2.8,97.9,15.6,5.2,0.0,3,10.08
6.74,99.5,37.3,5.3,0.0,1,90.86
2.44,94.2,60.5,8.88,17.42,2,0.0
12.46,95.7,75.1,9.49,6.35,4,14.52
0.0,87.0,51.9,6.68,6.44,5,4.44
6.1,98.4,83.0,6.24,0.0,1,98.23
2.65,91.8,42.5,5.76,0.0,2,12.31
0.0,77.0,43.7,6.81,16.93,5,0.0
0.0,65.8,59.6,4.44,0.0,5,91.55
7.33,94.1,99.1,4.9,0.0,4,84.64
5.34,98.2,78.1,5.72,0.0,3,6.6
1.26,95.0,86.7,9.77,0.0,2,34.68
18.79,98.1,57.1,6.82,0.82,1,9.0
3.42,96.9,56.9,6.92,4.4,2,5.52
8.39,99.0,45.7,5.9,4.67,1,70.32
2.99,96.7,88.5,5.89,8.21,2,0.0
0.25,83.3,50.6,5.56,0.0,2,47.51
0.0,60.6,92.3,5.37,5.11,5,41.46
18.3,90.7,88.3,5.14,0.0,1,8.14
4.51,96.0,18.2,6.4,0.0,3,4.7
16.18,92.5,35.3,5.85,0.0,1,8.85
16.76,97.3,25.8,5.95,0.0,4,2.45
0.0,85.6,74.9,4.2,0.0,5,18.54
0.32,80.4,30.5,4.72,0.0,1,196.79
0.0,76.3,34.7,6.49,5.52,5,20.59
15.98,94.5,48.9,5.0,0.0,4,8.0
16.36,93.1,80.0,9.99,0.0,4,6.37
2.93,99.5,15.8,5.17,0.0,2,0.0
0.0,74.8,70.6,6.99,5.9,5,22.7
0.0,94.5,76.6,6.26,0.0,5,9.26
17.05,96.4,34.0,8.94,0.0,4,0.0
14.81,96.7,24.4,6.07,7.82,4,0.0
2.89,100.0,74.0,4.85,0.0,3,18.99
0.01,55.7,74.0,5.47,0.0,2,49.89
0.0,85.7,92.3,5.71,0.0,5,19.97
13.1,99.5,74.1,9.83,0.0,4,36.62
3.58,96.5,68.0,5.75,7.0,2,0.0
1.12,92.3,76.4,6.06,0.0,2,27.81
13.79,99.2,71.0,9.75,0.0,4,28.58
2.4,95.7,78.6,6.63,0.0,2,15.63
15.04,93.3,26.4,9.61,0.0,4,7.25
0.0,62.5,28.7,4.17,0.0,5,102.11
0.0,89.5,24.3,5.28,0.0,5,0.0
0.18,70.2,74.7,6.43,0.0,2,48.24
4.57,92.5,54.9,8.63,0.0,2,4.34
1.56,99.0,78.9,9.77,14.72,2,0.0
2.87,98.7,46.1,5.12,13.67,3,0.0
10.46,91.5,15.9,9.47,0.0,4,33.25
0.0,68.6,79.4,4.18,6.05,5,29.53
17.94,99.9,98.6,6.16,0.0,1,9.16
1.42,98.1,83.3,6.22,0.0,2,25.01
3.75,93.9,19.6,5.55,1.84,3,4.59
17.64,90.2,60.9,6.0,0.0,1,9.0
0.39,78.5,54.4,9.07,0.0,3,56.09
2.85,95.9,93.3,8.91,7.77,2,2.57
0.06,72.4,72.3,5.35,19.07,2,0.0
4.44,97.6,76.0,5.86,10.19,3,0.0
0.0,90.0,35.0,6.13,0.0,5,9.13
16.93,95.7,84.5,6.29,0.0,1,9.29
4.57,96.5,21.5,8.53,5.82,3,0.0
0.13,73.7,53.0,6.12,7.72,4,107.58
2.3,99.7,74.4,9.85,1.99,2,20.58
3.46,90.8,79.5,6.86,15.76,2,0.0
0.0,63.2,94.6,6.27,0.0,5,102.59
1.72,99.1,32.5,8.71,0.0,3,39.68
0.08,83.9,38.0,5.26,0.0,1,199.21
15.34,91.3,35.5,9.04,0.0,4,13.84
12.58,95.7,68.3,9.56,8.8,1,12.85
0.31,69.5,78.7,6.39,0.0,1,196.9
13.87,91.9,95.8,5.33,3.41,1,16.2
0.0,74.7,76.3,4.98,1.44,5,60.08
2.53,99.7,59.9,9.64,8.91,2,3.89
15.07,96.7,21.9,6.39,0.0,1,0.0
7.93,90.3,79.9,4.15,8.09,4,27.91
2.17,95.5,17.9,5.94,0.49,2,3.35
5.81,93.4,82.2,5.09,0.0,4,100.02
0.0,91.0,29.2,5.58,2.84,5,5.74
14.82,91.1,30.6,6.25,10.23,4,0.0
3.96,94.4,19.5,6.53,1.23,3,4.34
4.19,90.3,82.3,5.58,7.32,3,0.0
9.46,94.2,32.8,6.88,5.0,4,24.13
0.02,50.4,15.2,6.32,0.0,2,49.84
16.01,93.2,55.8,9.37,0.0,4,9.87
6.43,99.2,81.1,6.05,0.0,4,94.76
2.78,92.3,51.7,6.94,0.0,2,12.17
0.0,92.1,55.0,5.6,8.67,5,0.0
0.0,93.4,24.2,5.17,8.28,5,0.0
5.23,97.1,94.5,6.45,0.52,3,7.67
1.19,99.6,34.0,6.7,10.72,3,0.0
18.75,97.0,78.7,6.56,0.0,1,9.56
14.98,95.1,36.0,6.27,4.76,4,4.68
0.38,53.3,45.1,5.6,3.37,2,46.18
14.0,91.8,38.1,5.26,0.0,1,18.22
13.51,97.5,26.4,9.09,6.0,4,4.84
3.01,98.3,83.6,8.96,12.08,2,0.0
15.12,92.1,36.5,9.27,3.62,4,9.95
1.56,95.6,37.9,5.57,14.03,2,0.0
2.16,92.4,87.9,5.99,0.0,3,27.36
13.58,92.3,92.3,4.85,0.0,4,22.07
2.77,91.0,90.3,8.68,17.31,2,0.0
0.25,56.2,40.8,5.55,0.0,4,167.46
7.52,96.1,62.1,6.38,0.48,1,83.72
13.02,97.1,36.0,9.33,0.0,4,37.0
0.29,67.7,64.0,6.74,7.81,1,115.94
0.18,60.2,91.3,4.83,7.76,4,125.03
0.0,88.2,68.3,6.48,0.0,5,14.2
0.0,89.7,23.8,5.95,0.0,5,0.0
15.49,93.8,65.4,6.68,4.98,1,4.69
0.0,65.3,19.8,5.16,5.1,5,17.5
15.02,93.9,66.7,8.8,0.0,4,13.57
2.07,97.8,86.1,5.8,0.0,2,18.13
16.44,91.5,77.7,4.89,8.88,1,0.0
19.22,92.3,81.3,8.66,10.27,1,0.0
3.12,99.3,42.7,5.32,6.58,2,0.0
3.77,97.5,98.3,4.42,0.89,3,8.81
0.24,66.8,59.1,5.12,3.04,2,47.59
16.86,99.0,34.9,5.4,8.54,1,0.0
7.58,96.3,76.9,5.06,1.71,1,80.56
2.74,92.5,31.7,5.43,11.21,3,0.0
12.09,91.2,90.3,5.49,0.0,1,37.56
1.69,94.6,15.2,9.51,0.0,3,20.45
0.15,84.8,33.7,9.6,16.92,2,0.0
2.37,95.0,62.4,5.44,4.69,2,10.1
0.15,65.6,85.1,8.64,6.1,3,58.55
0.31,51.4,49.1,4.91,0.0,4,166.87
0.0,89.0,62.4,5.84,9.5,5,0.0
2.58,92.0,56.2,5.06,0.0,2,12.25
2.87,96.1,81.2,5.35,18.8,2,0.0
0.15,76.5,88.0,4.57,0.0,2,48.54
17.48,95.2,16.5,4.69,0.0,1,0.0
13.83,94.6,77.2,9.83,0.0,4,28.22
0.0,86.6,63.2,6.71,0.0,5,18.51
12.77,98.6,64.5,6.67,8.3,4,9.46
13.77,90.9,89.3,6.12,0.0,1,21.45
0.27,68.3,72.5,6.88,0.0,2,47.29
7.36,97.1,86.3,9.63,0.0,4,96.37
8.22,97.8,52.3,8.62,0.0,4,87.76
2.54,97.2,97.7,6.6,0.39,2,13.77
14.63,97.6,84.3,9.4,7.83,1,3.79
1.26,90.5,85.8,6.63,4.04,3,32.98
18.48,95.4,44.1,6.23,0.0,1,9.23
16.77,98.1,79.5,5.58,1.09,4,2.33
0.15,67.5,29.0,6.48,0.0,2,48.46
0.0,97.9,47.0,6.02,0.0,5,9.02
1.72,91.8,64.6,6.55,5.85,2,6.61
3.28,95.4,44.1,5.48,0.0,2,8.48
3.94,99.4,38.3,4.01,2.82,2,4.19
14.66,92.6,24.6,8.8,0.0,4,8.73
0.25,56.7,48.4,9.09,0.0,2,47.45
0.0,88.4,67.2,6.85,15.84,5,0.0
2.42,96.8,65.4,9.74,5.02,2,6.2
0.0,66.2,15.1,9.38,1.91,5,54.03
2.54,90.4,70.6,9.6,0.0,2,19.8
2.03,95.7,53.9,5.68,0.0,3,28.4
6.88,99.6,62.7,6.7,2.49,4,88.37
0.0,87.3,25.4,6.81,4.94,5,2.35
0.0,93.0,98.7,5.74,0.0,5,8.74
12.89,95.6,44.1,6.41,0.0,4,30.5
14.25,94.9,24.1,6.79,15.13,1,0.0
0.0,92.5,16.7,6.15,0.0,5,0.0
4.63,98.7,15.4,8.56,4.72,3,3.93
11.78,95.1,71.4,5.07,0.0,1,40.32
16.94,95.1,66.7,5.95,0.0,1,8.95
2.62,97.1,92.2,5.1,2.44,2,9.5
16.14,91.9,63.2,9.03,16.79,4,0.0
0.0,94.8,57.1,5.79,0.92,5,7.87
0.0,89.2,65.0,5.57,2.4,5,8.35
0.01,58.5,44.9,4.91,0.0,3,59.94
17.2,90.8,18.6,6.58,0.23,1,0.0
16.39,92.8,81.7,9.14,0.0,4,6.13
4.09,96.0,33.1,6.81,0.0,3,9.81
0.0,55.0,91.8,6.56,13.29,5,0.0
15.09,98.5,98.4,6.35,0.0,1,9.35
0.0,85.3,95.8,5.87,0.0,5,21.21
3.7,97.1,97.9,5.51,10.6,2,0.0
3.8,97.3,29.2,6.77,0.0,2,9.77
4.0,97.6,81.0,5.54,0.0,2,8.54
2.79,93.0,54.5,6.77,7.45,2,0.0
15.23,93.6,73.1,5.02,0.49,1,7.52
0.08,59.6,57.6,6.45,0.0,3,59.15
0.32,84.9,62.6,5.63,0.81,4,166.76
4.69,97.1,41.0,5.22,12.75,3,0.0
0.0,90.8,88.1,6.95,3.31,5,6.64
0.07,65.7,59.1,6.72,0.0,1,199.27
