Water_Depth_cm,Soil_Moisture_%,Tank_Level_%,ET_mm_day,Rainfall_Predicted_mm,Crop_Stage,CWR_mm
7.04,94.8,92.3,6.93,0.0,3,14.53
7.86,99.7,66.7,8.95,2.23,3,11.18
0.31,59.3,21.9,5.49,0.0,2,45.0
10.23,90.2,83.3,4.05,17.62,4,0.0
0.05,54.0,90.8,5.77,0.0,3,45.0
10.31,96.5,82.4,8.77,7.29,4,0.0
3.77,92.9,95.8,6.54,0.0,1,11.79
2.71,95.2,64.6,5.47,0.0,1,21.34
0.0,60.0,54.7,5.79,0.0,5,35.59
9.0,97.3,29.0,5.63,0.52,4,0.0
6.07,94.8,67.5,8.95,6.08,2,0.0
0.0,77.4,50.5,9.59,0.38,5,11.99
4.56,91.6,91.6,6.22,0.0,2,23.65
0.31,55.9,67.4,6.5,0.0,4,45.0
7.49,97.6,37.9,5.95,0.0,4,15.86
9.0,91.0,76.5,8.61,8.84,3,0.0
0.0,80.0,18.3,9.35,7.0,5,0.0
4.12,92.0,91.9,9.01,9.31,1,0.0
0.0,68.7,44.4,5.81,2.54,5,14.37
7.93,98.8,69.1,8.51,2.52,3,10.34
0.0,73.1,42.9,6.65,0.0,5,9.9
0.0,76.0,94.1,4.63,15.95,5,0.0
0.0,68.4,45.5,6.77,0.0,5,17.93
3.46,94.7,18.9,6.14,0.0,1,0.0
0.23,66.2,91.7,6.97,0.0,3,45.0
4.77,97.4,68.8,4.18,18.0,1,0.0
0.0,81.6,19.3,8.99,5.63,5,0.0
8.03,97.2,24.7,9.61,3.59,3,0.0
4.08,90.5,43.6,6.45,0.0,2,21.42
0.0,56.6,72.6,5.96,0.0,5,45.0
0.21,59.1,54.8,6.8,0.0,3,45.0
7.79,93.5,74.0,5.72,4.1,4,16.76
3.25,98.3,92.6,5.71,0.0,2,36.22
0.37,67.3,72.8,6.36,0.0,2,45.0
8.36,97.5,27.1,9.25,8.29,3,0.0
9.67,93.0,51.6,4.45,13.79,3,0.0
5.6,97.2,59.3,5.6,0.0,3,27.3
0.0,47.4,72.4,6.96,0.0,5,45.0
0.0,62.1,40.2,6.14,0.0,5,24.27
8.77,93.8,69.1,4.13,17.73,3,0.0
0.0,75.0,20.8,5.4,0.0,5,0.0
4.07,98.2,26.2,5.85,0.0,2,14.09
0.0,81.6,52.6,4.19,12.96,5,0.0
6.19,94.3,19.3,10.0,2.0,3,5.53
3.84,95.6,56.9,5.26,0.0,1,9.35
4.49,95.5,65.5,9.91,4.03,1,10.2
0.17,70.3,69.7,5.02,0.0,2,45.0
0.31,58.5,61.7,5.74,0.0,1,45.0
2.01,98.7,18.7,5.16,0.0,1,5.61
2.52,90.2,84.1,5.24,0.0,1,23.06
5.7,96.6,46.5,6.1,0.0,2,9.59
8.02,94.3,28.7,9.44,2.4,4,11.81
5.31,93.4,48.2,5.78,0.0,2,12.82
0.0,48.5,51.4,6.86,0.0,5,45.0
0.0,82.4,97.1,6.2,3.23,5,5.98
0.0,68.6,73.8,5.07,0.0,5,20.93
3.62,92.7,78.1,6.93,0.0,2,33.73
0.0,63.3,83.5,6.34,0.0,5,32.8
5.51,91.5,58.1,8.59,0.69,2,17.6
5.56,97.1,60.8,5.31,0.0,4,42.68
3.58,99.4,79.2,9.84,7.82,1,0.0
0.0,80.7,61.7,9.72,6.69,5,0.0
0.12,72.9,40.5,6.78,0.0,3,45.0
0.0,79.8,91.3,8.7,2.04,5,11.11
5.44,98.1,90.9,6.25,0.0,3,29.81
5.97,100.0,88.8,6.08,3.29,2,6.05
7.49,93.1,89.5,6.69,0.0,4,24.8
2.78,96.2,25.0,5.71,0.0,1,0.0
0.0,55.2,90.3,5.44,0.0,5,45.0
10.46,94.5,44.4,4.78,15.19,3,0.0
11.28,99.7,62.7,9.5,8.34,4,0.0
7.54,99.3,53.6,5.48,0.0,4,20.78
6.55,98.3,68.6,5.43,0.0,4,32.9
0.0,51.6,45.2,5.21,0.0,5,45.0
7.0,99.5,80.0,5.38,0.0,4,28.36
5.85,97.5,67.5,5.17,0.0,2,9.66
8.98,98.6,82.1,6.33,0.0,4,9.54
6.49,96.9,60.1,5.67,0.39,2,8.28
5.33,94.3,32.5,6.76,0.84,2,9.0
9.94,98.0,70.4,9.27,9.22,2,0.0
6.41,97.7,21.0,6.59,0.0,3,0.0
3.66,94.4,67.1,6.52,4.93,1,7.96
0.0,84.8,89.0,4.7,18.03,5,0.0
5.02,91.1,97.6,5.97,0.0,3,33.73
7.67,94.6,70.9,9.25,7.44,2,0.0
4.26,96.2,56.4,5.46,0.0,2,24.45
5.21,90.3,65.3,6.8,0.0,2,17.66
0.0,62.8,84.6,6.52,0.0,5,33.96
5.66,90.1,89.9,5.38,0.0,4,41.75
6.39,92.9,15.5,6.02,0.0,3,0.0
5.3,93.8,70.7,5.44,0.0,4,45.0
8.72,99.9,79.8,9.1,7.19,2,0.0
7.76,96.3,84.8,8.82,0.54,3,12.97
0.0,62.3,70.8,5.85,0.0,5,34.22
4.32,97.0,36.0,9.72,1.88,1,7.87
5.64,94.3,94.1,9.91,9.01,2,0.0
8.95,90.7,19.1,9.78,6.62,2,0.0
0.0,78.9,22.2,8.64,3.81,5,0.0
8.49,92.6,68.7,8.58,2.86,4,15.88
0.0,73.5,28.9,9.59,2.96,5,7.52
0.0,69.4,33.8,5.72,0.0,5,11.88
6.88,97.3,94.6,6.39,0.0,4,30.59
6.34,97.5,18.5,4.92,10.86,1,0.0
0.16,68.8,84.5,5.04,0.0,2,45.0
0.07,52.3,39.8,6.98,0.0,3,45.0
5.35,92.1,56.6,9.5,2.68,2,17.74
0.1,74.4,43.9,6.22,0.0,2,45.0
0.15,83.8,22.8,5.02,0.0,4,45.0
2.72,97.0,97.4,6.94,0.0,1,22.77
0.02,72.1,25.0,5.5,0.0,1,45.0
8.41,98.9,47.6,9.75,3.37,3,8.74
7.37,98.7,58.0,6.99,0.0,4,25.43
7.26,93.5,20.6,8.95,9.25,3,0.0
0.0,73.8,94.3,6.95,0.0,5,12.33
11.8,94.6,28.1,4.27,16.78,3,0.0
6.51,93.9,65.1,9.35,7.8,1,0.0
0.0,74.1,72.0,5.29,3.48,5,6.52
6.83,97.9,15.7,5.98,0.0,3,0.0
0.0,63.7,32.8,6.35,0.0,5,18.51
3.09,97.4,46.9,5.31,0.0,1,13.92
3.6,94.7,66.5,8.95,3.35,1,14.46
0.0,81.4,17.2,9.51,3.68,5,0.0
0.0,73.1,56.0,5.31,0.0,5,11.44
6.16,96.9,70.2,5.15,0.0,4,36.53
6.23,92.3,58.8,9.02,3.16,2,10.01
5.54,98.6,19.8,6.88,0.0,4,22.25
4.79,98.7,18.4,6.27,0.0,2,10.67
0.0,71.7,41.2,5.1,2.75,5,8.55
8.92,96.7,52.3,5.48,4.25,4,0.0
6.38,97.7,55.3,6.04,0.62,2,7.82
8.63,92.8,48.2,9.56,1.24,4,14.13
0.0,84.3,91.9,9.99,7.91,5,0.0
2.37,98.5,22.1,6.0,0.0,1,5.06
0.0,59.4,27.4,5.03,0.0,5,7.84
0.29,55.7,57.9,5.35,0.0,1,45.0
8.37,94.7,95.0,8.63,0.34,3,12.99
6.9,98.0,57.3,8.55,7.68,2,0.0
0.0,81.7,86.8,5.59,0.63,5,7.96
6.81,90.8,53.8,9.61,4.83,3,15.27
6.93,97.6,88.8,8.63,2.14,2,10.92
0.0,75.3,56.9,4.62,13.96,5,0.0
7.18,90.7,45.8,6.75,0.0,3,10.09
11.73,98.4,38.4,9.46,6.44,3,0.0
0.38,67.2,23.6,6.06,0.0,1,45.0
0.07,67.6,79.7,6.79,0.0,1,45.0
0.33,67.4,76.1,6.22,0.0,2,45.0
0.0,77.9,64.6,9.07,6.94,5,0.0
6.7,93.7,30.5,4.51,18.3,1,0.0
5.09,90.3,71.7,9.69,2.19,2,22.55
0.24,81.4,85.2,5.18,0.0,1,45.0
0.17,84.8,75.3,5.76,0.0,2,45.0
7.35,96.5,99.4,6.25,1.65,3,9.15
9.11,94.3,83.3,4.74,16.62,4,0.0
6.46,96.8,86.8,5.14,3.24,2,0.0
3.32,92.7,76.7,6.36,0.65,1,15.48
0.39,56.9,78.2,6.21,0.0,3,45.0
2.15,96.5,62.1,5.8,0.0,1,27.31
2.62,95.8,64.7,6.86,0.0,1,23.64
5.07,96.9,80.7,6.39,0.0,2,18.74
2.66,93.8,53.6,5.34,0.0,1,19.6
0.0,75.7,32.9,4.87,10.79,5,0.0
11.51,92.5,32.3,4.42,11.96,4,0.0
0.0,50.2,77.2,5.66,0.0,5,45.0
9.12,96.4,47.3,4.96,10.71,2,0.0
7.13,99.4,27.6,9.94,0.6,2,7.12
7.24,98.8,49.9,6.45,1.64,3,8.82
0.0,72.6,76.9,6.83,0.3,5,14.33
0.0,81.5,81.6,9.55,4.5,5,9.25
0.06,50.3,91.1,5.92,0.0,1,45.0
9.58,94.2,66.7,9.99,4.01,4,10.32
7.34,97.9,68.7,5.4,0.0,3,9.97
2.86,92.2,21.6,6.16,0.0,1,0.0
5.16,98.3,75.8,6.34,0.0,2,17.76
5.76,94.9,72.5,8.96,7.44,2,0.0
0.0,45.4,70.9,6.35,0.0,5,45.0
10.28,90.1,46.9,4.2,13.72,4,0.0
9.15,96.2,84.5,4.35,10.38,2,0.0
0.19,73.1,85.0,6.48,0.0,4,45.0
6.36,97.0,25.2,4.98,19.02,2,0.0
5.25,97.8,66.9,5.57,0.0,3,31.09
4.63,91.6,98.9,5.25,0.37,1,7.88
0.0,76.7,51.7,6.26,4.26,5,0.0
4.8,97.1,88.7,6.9,0.0,2,21.89
7.07,94.2,41.3,9.04,4.56,3,9.68
0.28,55.6,22.8,6.38,0.0,1,45.0
6.18,98.6,71.7,4.93,12.93,1,0.0
0.01,64.6,51.9,5.64,0.0,4,45.0
3.25,93.4,74.1,5.52,0.0,1,16.05
9.21,95.9,90.0,4.92,18.6,4,0.0
9.73,97.7,66.1,4.68,14.14,3,0.0
9.85,91.0,21.3,4.89,15.53,4,0.0
0.23,70.7,17.6,6.05,0.0,2,45.0
5.4,90.7,35.1,6.38,0.0,2,9.49
0.11,57.9,91.1,6.44,0.0,2,45.0
7.24,94.0,15.2,6.31,1.99,4,12.44
6.31,95.8,71.0,9.17,7.74,2,0.0
6.61,90.8,24.8,5.68,0.0,3,0.0
0.22,64.3,82.1,5.61,0.0,2,45.0
0.0,80.9,17.0,8.68,6.89,5,0.0
0.0,77.5,71.2,8.66,1.33,5,11.87
10.62,99.8,70.1,4.86,12.3,4,0.0
6.02,95.3,63.6,6.53,0.37,3,24.01
7.46,90.5,66.6,6.24,0.0,3,9.62
9.07,93.1,24.1,9.88,5.49,2,0.0
5.33,91.6,35.2,5.95,0.0,3,18.95
0.0,74.6,61.4,8.52,1.65,5,12.36
0.32,59.0,40.3,5.63,0.0,3,45.0
0.35,73.2,15.9,5.73,0.0,1,45.0
3.59,96.4,49.3,9.69,5.95,1,0.0
7.0,95.4,21.0,9.65,0.62,3,0.0
5.93,98.5,82.5,6.11,0.0,3,24.8
6.59,94.6,55.2,6.89,0.0,3,17.57
0.25,82.8,23.2,6.51,0.0,3,45.0
10.77,91.5,43.4,9.23,8.71,4,0.0
0.0,80.8,34.9,9.67,4.85,5,5.52
4.98,96.5,26.9,9.89,0.74,2,12.82
8.67,92.8,41.0,9.97,6.84,3,0.0
0.0,71.2,41.1,9.39,0.2,5,16.14
9.13,91.3,62.5,8.92,8.26,3,0.0
10.88,91.1,90.7,4.14,19.63,3,0.0
7.74,91.6,36.9,9.52,3.2,3,6.9
11.11,92.1,87.9,4.89,18.35,3,0.0
7.78,90.1,78.6,7.0,2.38,4,19.8
7.22,95.4,65.9,5.12,0.0,3,10.94
7.12,99.5,85.5,5.69,0.0,3,12.53
0.25,63.0,71.0,6.61,0.0,2,45.0
7.05,91.2,88.9,8.89,5.06,2,0.0
8.74,96.7,24.0,9.8,4.84,4,6.05
0.25,57.8,61.5,6.91,0.0,2,45.0
2.23,98.0,59.5,6.73,0.0,1,27.19
3.28,93.7,59.2,9.86,2.56,1,19.86
6.9,90.2,18.1,5.45,1.63,2,0.0
0.1,76.4,95.9,5.28,0.0,4,45.0
9.61,91.1,56.2,9.3,7.45,4,0.0
8.87,98.6,22.4,6.71,0.33,3,0.0
5.57,97.7,72.2,9.28,3.87,2,14.68
6.15,95.0,38.5,6.96,0.0,3,15.69
9.51,92.9,72.3,5.26,0.43,4,7.83
3.74,91.2,62.2,9.28,0.96,1,16.01
10.66,96.2,88.0,5.65,0.25,4,8.41
7.17,94.5,24.5,6.3,0.4,2,0.0
9.48,96.9,22.1,9.64,1.42,4,6.46
0.19,63.8,86.3,6.34,0.0,4,45.0
0.15,72.5,23.8,5.34,0.0,1,45.0
5.23,90.8,18.3,6.99,0.38,2,8.64
9.93,99.1,88.0,6.72,4.87,4,0.0
6.44,93.6,45.8,9.11,2.55,3,18.08
0.0,55.9,28.3,6.19,0.0,5,24.33
7.68,95.6,66.3,8.94,0.12,3,13.59
6.27,94.5,58.0,6.58,0.0,3,21.21
0.14,59.5,77.9,6.35,0.0,3,45.0
5.54,90.9,48.7,8.69,8.22,1,0.0
3.88,97.4,54.8,9.76,4.61,1,9.87
6.92,98.0,66.3,4.37,10.42,2,0.0
0.08,83.7,74.8,5.32,0.0,3,45.0
7.79,97.1,67.1,9.71,6.85,3,0.0
0.0,80.2,36.3,5.35,4.82,5,0.0
2.24,90.3,53.7,5.65,0.0,1,23.72
0.0,76.2,50.5,9.33,1.72,5,10.43
4.34,97.0,98.3,4.54,16.72,1,0.0
3.09,96.3,36.0,5.43,0.0,2,23.66
0.0,45.5,85.1,5.93,0.0,5,45.0
3.97,92.9,96.9,5.57,0.0,1,8.83
5.08,95.8,21.2,6.98,0.0,2,9.57
3.56,97.6,100.0,9.72,2.32,1,17.08
5.24,97.6,29.2,5.38,4.83,2,5.84
0.26,64.7,16.1,5.58,0.0,3,45.0
6.87,94.0,15.4,8.8,2.6,2,5.29
3.66,94.0,67.5,8.85,0.83,1,16.63
0.31,51.8,35.6,5.92,0.0,3,45.0
8.34,93.1,84.9,4.12,12.68,3,0.0
3.72,90.4,95.3,9.82,2.15,1,15.52
5.71,94.6,23.0,5.54,0.0,3,5.28
4.27,99.4,44.8,8.55,7.0,1,0.0
0.24,81.2,44.8,5.07,0.0,1,45.0
10.26,92.7,60.5,9.55,9.95,4,0.0
5.9,97.8,44.4,4.61,13.97,1,0.0
9.96,90.3,48.0,4.61,10.67,2,0.0
0.0,57.4,67.1,6.65,0.0,5,44.82
5.77,90.7,44.6,9.73,9.73,1,0.0
10.72,98.3,86.2,6.61,3.15,4,6.46
4.74,94.9,96.1,9.19,0.16,1,13.83
4.68,96.8,67.9,9.1,7.04,1,0.0
0.02,53.6,48.1,5.41,0.0,1,45.0
8.49,97.0,29.6,9.47,0.86,4,10.26
5.74,99.8,68.9,5.25,0.0,3,25.81
3.63,99.1,90.7,6.05,0.0,1,12.74
0.0,67.7,18.3,6.13,0.62,5,0.0
0.0,72.0,67.2,5.39,0.0,5,14.45
0.05,66.8,21.1,5.36,0.0,2,45.0
3.26,96.2,45.4,9.85,2.13,1,16.18
11.31,94.0,48.1,4.88,15.68,4,0.0
0.07,73.9,97.9,5.83,0.0,2,45.0
0.35,81.1,36.0,5.12,0.0,2,45.0
0.0,70.3,37.6,9.85,4.07,5,13.73
7.66,99.2,83.2,6.66,3.18,3,6.47
3.39,90.1,99.7,9.5,0.79,1,20.46
0.0,77.1,22.1,4.75,15.4,5,0.0
11.34,96.0,86.1,9.76,9.45,4,0.0
5.98,98.0,35.4,4.91,11.79,1,0.0
2.99,99.5,98.9,5.64,0.0,1,18.74
5.29,91.6,95.0,6.65,0.0,4,45.0
3.57,98.0,95.7,5.51,2.31,1,10.54
9.47,97.9,75.0,4.24,14.93,3,0.0
2.18,99.4,16.0,5.57,0.0,1,5.36
0.31,76.6,93.0,6.21,0.0,3,45.0
6.1,95.2,64.5,6.52,0.0,3,23.54
7.34,90.8,32.5,9.54,7.44,4,5.76
0.0,76.0,48.5,4.28,11.51,5,0.0
0.18,59.3,19.9,6.24,0.0,1,45.0
5.41,92.6,74.7,5.08,0.0,3,28.96
6.23,98.6,50.6,9.65,3.54,3,21.45
7.68,90.1,20.1,9.74,3.55,3,0.0
0.34,64.8,36.1,6.61,0.0,4,45.0
6.75,91.3,45.1,6.8,0.0,4,24.93
0.0,68.4,66.3,9.52,1.89,5,27.34
4.96,99.7,32.2,9.99,1.9,2,14.15
3.55,93.9,62.5,6.07,0.0,1,13.57
7.1,99.1,67.5,5.88,1.45,3,11.39
8.66,94.4,38.4,5.04,1.87,3,0.0
0.0,72.7,95.5,8.94,1.61,5,17.28
11.57,98.8,30.6,4.57,18.38,4,0.0
3.87,91.6,77.3,6.65,0.0,2,30.98
0.0,72.7,85.0,6.79,0.0,5,14.44
8.09,95.5,28.6,5.82,1.74,4,8.37
8.92,97.0,41.3,5.06,0.0,4,6.28
0.0,66.9,85.0,5.16,0.0,5,24.41
7.17,90.8,50.9,6.38,4.23,3,7.22
5.49,97.1,85.7,5.39,0.0,3,28.45
0.17,72.7,72.2,6.61,0.0,1,45.0
9.98,93.3,25.0,6.13,4.7,4,0.0
6.9,99.1,18.9,5.3,0.0,3,0.0
9.01,96.8,44.2,9.71,8.69,3,0.0
0.3,84.0,87.4,5.58,0.0,3,45.0
6.44,94.8,49.6,9.9,7.38,2,0.0
2.13,90.9,68.3,6.34,0.0,1,28.07
2.54,99.9,70.2,6.97,0.0,1,24.55
0.39,83.3,59.3,6.19,0.0,4,45.0
5.2,96.3,87.6,6.47,0.0,2,17.5
4.49,99.4,42.6,5.27,0.0,2,17.16
9.49,92.7,48.5,9.4,7.27,2,0.0
7.2,96.9,17.6,8.63,9.88,2,0.0
6.89,94.6,59.0,5.89,0.0,3,14.78
4.49,97.6,45.5,6.21,0.0,2,18.91
0.33,72.8,95.8,6.26,0.0,1,45.0
6.77,96.3,56.9,4.25,10.2,1,0.0
7.42,96.0,89.0,8.67,6.88,2,0.0
0.0,46.9,77.2,5.47,0.0,5,45.0
0.12,73.2,89.6,6.32,0.0,4,45.0
0.32,78.3,33.6,5.2,0.0,2,45.0
8.73,91.7,73.9,8.98,8.57,3,0.0
0.0,80.5,97.8,8.77,8.24,5,0.0
6.38,94.6,51.3,6.01,0.0,4,30.52
7.55,98.2,71.8,9.23,1.86,3,11.92
9.56,90.3,92.9,4.5,10.15,3,0.0
0.38,69.1,61.3,5.39,0.0,4,45.0
6.07,98.4,27.5,8.84,8.58,1,0.0
8.83,97.0,56.7,6.27,0.0,4,10.41
6.84,97.3,28.6,6.32,0.0,4,16.01
7.86,99.4,64.5,4.62,10.19,3,0.0
0.0,46.7,85.3,6.21,0.0,5,45.0
8.05,96.9,21.2,4.15,16.8,2,0.0
5.61,95.5,16.2,9.62,7.2,1,0.0
5.62,98.5,99.0,5.09,0.0,2,11.87
0.38,74.8,32.0,6.78,0.0,4,45.0
0.0,53.5,94.4,5.12,0.0,5,45.0
7.72,95.0,49.8,6.39,0.0,4,18.73
7.71,91.0,71.7,8.96,6.58,2,0.0
0.11,81.7,16.5,5.97,0.0,3,45.0
3.41,95.1,59.9,5.82,0.0,1,14.65
4.49,99.6,88.6,5.82,4.61,1,0.0
7.76,95.5,69.9,4.28,17.74,3,0.0
0.0,82.3,48.4,8.63,9.42,5,0.0
9.77,94.0,35.2,4.17,11.5,2,0.0
4.65,97.3,73.2,5.13,2.18,1,5.95
4.21,98.4,18.8,5.7,4.36,1,0.0
0.31,81.5,38.9,5.08,0.0,3,45.0
6.28,96.7,96.2,8.92,4.82,3,22.2
6.15,94.1,51.6,6.25,0.0,3,19.8
0.04,67.1,92.4,5.91,0.0,3,45.0
3.52,98.2,38.6,6.02,0.0,1,9.25
0.0,69.8,94.8,8.91,3.54,5,21.68
2.94,95.9,90.7,5.37,0.0,1,18.93
5.62,98.6,41.2,9.1,2.3,2,11.14
0.0,76.2,43.7,4.69,13.45,5,0.0
0.0,80.0,49.0,9.29,3.11,5,8.77
0.0,75.0,33.9,9.45,4.57,5,5.43
0.32,51.9,51.9,5.7,0.0,4,45.0
8.11,95.6,27.1,4.52,14.64,3,0.0
0.21,50.1,35.6,6.31,0.0,4,45.0
3.54,91.3,54.4,5.23,0.0,1,11.71
0.39,74.2,95.8,6.6,0.0,1,45.0
6.88,91.7,67.7,4.03,17.16,2,0.0
7.81,95.3,73.4,8.52,0.92,3,12.19
3.82,93.7,46.5,5.65,0.0,1,8.3
2.07,99.1,46.8,5.42,0.0,1,22.11
6.79,94.1,88.8,9.18,3.11,2,10.42
4.56,99.1,52.2,9.82,5.91,1,0.0
5.47,96.3,18.1,6.73,0.0,3,6.01
0.0,47.6,29.3,5.86,0.0,5,43.66
7.81,98.6,17.2,4.5,13.12,3,0.0
8.0,96.0,73.8,9.25,6.37,4,7.33
3.25,90.5,74.3,6.07,3.57,1,13.0
0.02,75.6,40.6,5.23,0.0,3,45.0
6.81,98.1,56.8,9.58,5.14,1,0.0
7.36,98.6,87.7,5.88,0.0,3,10.3
0.12,62.2,85.5,5.77,0.0,3,45.0
0.0,48.6,48.6,5.65,0.0,5,45.0
0.0,56.6,96.4,6.25,0.0,5,45.0
5.2,94.4,24.4,5.74,0.0,4,23.37
5.16,90.2,93.8,9.58,8.29,1,0.0
6.71,92.0,71.8,4.07,10.85,2,0.0
0.0,78.2,38.1,6.0,2.97,5,0.0
10.96,98.4,61.0,4.88,15.79,4,0.0
0.0,76.2,63.8,9.27,5.58,5,0.0
8.42,95.5,58.8,5.07,0.0,4,13.65
9.52,90.1,15.5,4.82,16.37,2,0.0
0.0,70.3,93.7,9.31,9.99,5,5.42
8.07,94.8,24.8,9.51,5.69,4,0.0
3.14,98.8,50.8,5.82,0.0,2,32.14
7.49,91.9,25.3,9.63,4.76,3,0.0
6.47,93.7,17.5,8.85,4.44,2,0.0
0.07,58.3,53.1,6.84,0.0,1,45.0
7.07,94.2,98.9,8.76,3.49,2,9.51
7.33,90.8,48.3,9.55,5.41,4,8.99
0.36,80.2,89.1,5.7,0.0,2,45.0
4.41,92.8,37.0,9.46,6.11,1,0.0
0.0,83.3,34.2,4.32,10.59,5,0.0
0.12,53.3,22.8,5.74,0.0,1,45.0
6.64,92.0,73.6,9.33,9.8,2,0.0
7.12,97.3,93.8,5.65,0.0,4,27.46
0.0,52.5,67.0,5.42,0.0,5,45.0
6.09,98.7,97.4,9.31,4.15,2,9.38
0.24,69.8,19.1,6.65,0.0,3,45.0
6.66,91.7,92.6,8.67,6.84,3,6.07
0.0,65.3,47.7,6.99,0.0,5,23.87
0.23,82.5,61.0,5.68,0.0,2,45.0
0.3,70.7,83.4,6.24,0.0,4,45.0
3.12,93.6,31.0,5.48,0.0,1,9.56
7.91,94.5,60.4,8.62,6.06,3,0.0
2.15,93.6,34.0,5.37,0.0,1,16.13
0.31,78.6,20.3,6.53,0.0,4,45.0
